languageCode,translationId,languageName,languageNameInEnglish,dialect,homeDomain,title,description,Redistributable,Copyright,UpdateDate,publicationURL,OTbooks,OTchapters,OTverses,NTbooks,NTchapters,NTverses,DCbooks,DCchapters,DCverses,FCBHID,Certified,inScript,swordName,rodCode,textDirection,downloadable,font,shortTitle,PODISBN,script,sourceDate,licence_ID,licence_File,licence_Language,licence_Dialect,licence_Vernacular_Title,licence_Licence_Type,licence_Licence_Version,licence_CC_Licence_Link,licence_Copyright_Holder,licence_Copyright_Years,licence_Translation_by,licence_date_read,status_download_path,status_download_date,status_unzip_path,status_unzip_date,status_extract_path,status_extract_date,status_extract_renamed_date,status_last_error
abp,abp,"Ayta, Abellen","Ayta, Abellen",,ebible.org,Ayta Abellen,"Ayta, Abellen: Ayta Abellen (New Testament+)",False,"Copyright © 2020-2024 Wycliffe Bible Translators, Inc.",2025-04-25,http://ebible.org/abp/,2.0,54.0,1611.0,27.0,260.0,7877.0,0.0,0.0,0.0,ABPWBT,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,abp2020eb,,ltr,True,DejaVu Serif,"Ayta, Abellen: Ayta Abellen (New Testament+)",,Latin,2025-04-25,abp,C:\ebible_data\private_projects\abp\copr.htm,"Ayta, Abellen",,Ayta Abellen,Unknown,,,"Wycliffe Bible Translators, Inc.",copyright © 2020-2024,,2025-04-30,C:\ebible_data\downloads\abp--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\abp,2025-04-30,C:\ebible_data\private_corpus\abp-abp.txt,2025-04-30,,
aca,aca,Achagua,Achagua,,ebible.org,Liáꞌa Chuánshi Dios Shínaa,Achagua Partial NT [aca] -Colombia 2013,False,"Copyright © 2013 Wycliffe Bible Translators, Inc.",2025-04-25,http://ebible.org/aca/,0.0,0.0,0.0,10.0,121.0,4410.0,0.0,0.0,0.0,ACAWBT,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,aca2013eb,,ltr,True,DejaVu Serif,Achagua Partial NT [aca] -Colombia 2013,,Latin,2025-04-25,aca,C:\ebible_data\private_projects\aca\copr.htm,Achagua,,Liáꞌa Chuánshi Dios Shínaa,Unknown,,,"Wycliffe Bible Translators, Inc.",copyright © 2013,,2025-04-30,C:\ebible_data\downloads\aca--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\aca,2025-04-30,C:\ebible_data\private_corpus\aca-aca.txt,2025-04-30,,
acd,acd,Gikyode,Gikyode,,ebible.org,GɛnÞ PobÞrÞ,The New Testament in the Gikyode language,False,"Copyright © 2020 Wycliffe Bible Translators, Inc.",2025-04-25,http://ebible.org/acd/,0.0,0.0,0.0,27.0,260.0,7911.0,0.0,0.0,0.0,ACDWBT,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,acd2020eb,,ltr,True,DejaVu Serif,The New Testament in the Gikyode language,,Latin,2025-04-25,acd,C:\ebible_data\private_projects\acd\copr.htm,Gikyode,,GɛnÞ PobÞrÞ,Unknown,,,"Wycliffe Bible Translators, Inc.",copyright © 2020,,2025-04-30,C:\ebible_data\downloads\acd--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\acd,2025-04-30,C:\ebible_data\private_corpus\acd-acd.txt,2025-04-30,,
adj,adj,Adioukrou,Adioukrou,,ebible.org,Adioukrou,Adioukrou: Amani Owr New Testament,False,"Copyright © 1998 Wycliffe Bible Translators, Inc.",2025-04-26,http://ebible.org/adj/,0.0,0.0,0.0,27.0,260.0,7907.0,0.0,0.0,0.0,ADJWBT,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,adj1998eb,,ltr,True,DejaVu Serif,Adioukrou: Amani Owr New Testament,,Latin,2025-04-26,adj,C:\ebible_data\private_projects\adj\copr.htm,Adioukrou,,Adioukrou,Unknown,,,"Wycliffe Bible Translators, Inc.",copyright © 1998,,2025-04-30,C:\ebible_data\downloads\adj--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\adj,2025-04-30,C:\ebible_data\private_corpus\adj-adj.txt,2025-04-30,,
aeb,aeb,العهد الجديد بالدارجة التونسية 2022,العهد الجديد بالدارجة التونسية 2022,,ebible.org,العهد الجديد بالدارجة التونسية 2022,"Arabic, Tunisian Spoken: العهد الجديد بالعربية التونسية (New Testament)",False,"Copyright © 2020 Wycliffe Bible Translators, Inc.",2025-04-26,http://ebible.org/aeb/,0.0,0.0,0.0,27.0,260.0,7958.0,0.0,0.0,0.0,AEBUBS,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,aeb2020eb,,rtl,True,Amiri,"Arabic, Tunisian Spoken: العهد الجديد بالعربية التونسية (New Testament)",,Arabic,2025-04-26,aeb,C:\ebible_data\private_projects\aeb\copr.htm,العهد الجديد بالدارجة التونسية 2022,,العهد الجديد بالدارجة التونسية 2022,Unknown,,,"Wycliffe Bible Translators, Inc.",copyright © 2020,,2025-04-30,C:\ebible_data\downloads\aeb--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\aeb,2025-04-30,C:\ebible_data\private_corpus\aeb-aeb.txt,2025-04-30,,
aeb,aeu,Gaolkheel,"Arabic, Tunisian Spoken",,ebible.org,العهد الجديد بالدارجة التونسية 2022,Akeu: Jalliq aqsivq Gaolkheel daoq New Testament,False,"Copyright © 2015 Wycliffe Bible Translators, Inc.",2025-04-26,http://ebible.org/aeu/,0.0,0.0,0.0,27.0,260.0,7958.0,0.0,0.0,0.0,AEUWBT,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,aeu2015eb,,rtl,True,DejaVu Serif,Akeu NT,,Latin,2025-04-26,aeu,C:\ebible_data\private_projects\aeu\copr.htm,"Gaolkheel (Arabic, Tunisian Spoken)",,العهد الجديد بالدارجة التونسية 2022,Unknown,,,"Wycliffe Bible Translators, Inc.",copyright © 2015,,2025-04-30,C:\ebible_data\downloads\aeu--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\aeu,2025-04-30,C:\ebible_data\private_corpus\aeb-aeu.txt,2025-04-30,,
akh,akh,Angal Heneng,Angal Heneng,Waola,png.bible,Angal Heneng,The New Testament in the Angal Heneng Language of Papua New Guinea,False,Copyright © 1978 The Bible Society of Papua New Guinea,2025-04-25,http://png.bible/akh/,0.0,0.0,0.0,27.0,260.0,7775.0,0.0,0.0,0.0,AKHBSP,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,akh1978eb,,ltr,True,Andika,Angal Heneg NT,978-1-5313-0024-1,Latin,2020-10-09,akh,C:\ebible_data\private_projects\akh\copr.htm,Angal Heneng,Waola,,Unknown,,,The Bible Society of Papua New Guinea,copyright © 1978,,2025-04-30,C:\ebible_data\downloads\akh--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\akh,2025-04-30,C:\ebible_data\private_corpus\akh-akh.txt,2025-04-30,,
akp,akp,Siwu,Siwu,,ebible.org,Siwu,Siwu: Ndamu Ɣɛtɛ Siwu New Testament,False,"Copyright © 2008 Wycliffe Bible Translators, Inc.",2025-04-25,http://ebible.org/akp/,0.0,0.0,0.0,27.0,260.0,7939.0,0.0,0.0,0.0,AKPWBT,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,akp2008eb,4728.0,ltr,True,DejaVu Serif,Siwu NT,,Latin,2025-04-26,akp,C:\ebible_data\private_projects\akp\copr.htm,Siwu,,Siwu,Unknown,,,"Wycliffe Bible Translators, Inc.",copyright © 2008,,2025-04-30,C:\ebible_data\downloads\akp--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\akp,2025-04-30,C:\ebible_data\private_corpus\akp-akp.txt,2025-04-30,,
any,any,Agni Sanvi,Agni Sanvi,,ebible.org,Anyin,Anyin: Nyɩhyɛ Fʋfɔlɛʼn New Testament,False,"Copyright © 1997 Wycliffe Bible Translators, Inc.",2025-04-26,http://ebible.org/any/,0.0,0.0,0.0,27.0,260.0,7959.0,0.0,0.0,0.0,ANYWBT,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,any1997eb,2674.0,ltr,True,Gentium Plus,Anyin: Nyɩhyɛ Fʋfɔlɛʼn New Testament,,Latin,2025-04-26,any,C:\ebible_data\private_projects\any\copr.htm,Agni Sanvi,,Anyin,Unknown,,,"Wycliffe Bible Translators, Inc.",copyright © 1997,,2025-04-30,C:\ebible_data\downloads\any--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\any,2025-04-30,C:\ebible_data\private_corpus\any-any.txt,2025-04-30,,
apy,apyNT,Apalaí,Apalaí,,ebible.org,Ritonõpo Omiry: A Bíblia Sagrada na língua Aparai do Brasil,New Testament in Apalaí (BR:apy:Apalaí),False,"Copyright © 2017 Wycliffe Bible Translators, Inc.",2025-04-26,http://ebible.org/apyNT/,39.0,929.0,22636.0,27.0,260.0,7919.0,0.0,0.0,0.0,APYWBT,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,apy2017eb,,ltr,True,Gentium,Apalai NT,978-1-5313-0049-4,Latin,2025-04-26,apyNT,C:\ebible_data\private_projects\apyNT\copr.htm,,,Ritonõpo Omiry: A Bíblia Sagrada na língua Aparai do Brasil,Unknown,,,,,,2025-04-30,C:\ebible_data\downloads\apyNT--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\apyNT,2025-04-30,C:\ebible_data\private_corpus\apy-apyNT.txt,2025-04-30,,
